"행정구역","2024년06월_계_총인구수","2024년06월_계_연령구간인구수","2024년06월_계_0세"
"서울특별시 동대문구 이문제2동(1123075000)","19,184","63","63"
"서울특별시 중랑구 (1126000000)","381,126","1,609","1,609"
"서울특별시 중랑구 면목제2동(1126052000)","23,415","70","70"
"서울특별시 중랑구 면목제4동(1126054000)","18,022","67","67"
"서울특별시 중랑구 면목제5동(1126055000)","14,462","93","93"
"서울특별시 중랑구 면목본동(1126056500)","32,611","134","134"
"서울특별시 중랑구 면목제7동(1126057000)","21,101","88","88"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,147","80","80"
"서울특별시 중랑구 상봉제1동(1126058000)","22,881","95","95"
"서울특별시 중랑구 상봉제2동(1126059000)","20,484","125","125"
"서울특별시 중랑구 중화제1동(1126060000)","18,550","84","84"
"서울특별시 중랑구 중화제2동(1126061000)","23,635","84","84"
"서울특별시 중랑구 묵제1동(1126062000)","33,436","121","121"
"서울특별시 중랑구 묵제2동(1126063000)","17,998","56","56"
"서울특별시 중랑구 망우본동(1126065500)","37,950","236","236"
"서울특별시 중랑구 망우제3동(1126066000)","15,559","42","42"
"서울특별시 중랑구 신내1동(1126068000)","37,390","134","134"
"서울특별시 중랑구 신내2동(1126069000)","19,485","100","100"
"서울특별시 성북구 (1129000000)","424,194","1,661","1,661"
"서울특별시 성북구 성북동(1129052500)","15,925","75","75"
"서울특별시 성북구 삼선동(1129055500)","22,043","59","59"
"서울특별시 성북구 동선동(1129057500)","15,057","28","28"
"서울특별시 성북구 돈암제1동(1129058000)","14,126","81","81"
"서울특별시 성북구 돈암제2동(1129059000)","23,401","76","76"
"서울특별시 성북구 안암동(1129060000)","15,037","25","25"
"서울특별시 성북구 보문동(1129061000)","16,142","72","72"
"서울특별시 성북구 정릉제1동(1129062000)","17,735","78","78"
"서울특별시 성북구 정릉제2동(1129063000)","22,320","88","88"
"서울특별시 성북구 정릉제3동(1129064000)","14,982","36","36"
"서울특별시 성북구 정릉제4동(1129065000)","24,023","95","95"
"서울특별시 성북구 길음제1동(1129066000)","35,210","143","143"
"서울특별시 성북구 길음제2동(1129068500)","21,402","140","140"
"서울특별시 성북구 종암동(1129070500)","37,311","137","137"
"서울특별시 성북구 월곡제1동(1129071500)","25,323","126","126"
"서울특별시 성북구 월곡제2동(1129072500)","18,788","61","61"
"서울특별시 성북구 장위제1동(1129076000)","23,233","86","86"
"서울특별시 성북구 장위제2동(1129077000)","12,971","46","46"
"서울특별시 성북구 장위제3동(1129078000)","15,471","81","81"
"서울특별시 성북구 석관동(1129081000)","33,694","128","128"
"서울특별시 강북구 (1130500000)","285,054","707","707"
"서울특별시 강북구 삼양동(1130553400)","22,225","65","65"
"서울특별시 강북구 미아동(1130553500)","20,701","37","37"
"서울특별시 강북구 송중동(1130554500)","28,291","95","95"
"서울특별시 강북구 송천동(1130555500)","24,499","51","51"
"서울특별시 강북구 삼각산동(1130557500)","30,374","112","112"
"서울특별시 강북구 번1동(1130559500)","16,420","28","28"
"서울특별시 강북구 번2동(1130560300)","14,761","35","35"
"서울특별시 강북구 번3동(1130560800)","16,164","59","59"
"서울특별시 강북구 수유1동(1130561500)","19,747","43","43"
"서울특별시 강북구 수유2동(1130562500)","20,371","40","40"
"서울특별시 강북구 수유3동(1130563500)","22,884","38","38"
"서울특별시 강북구 우이동(1130564500)","19,805","55","55"
"서울특별시 강북구 인수동(1130566000)","28,812","49","49"
"서울특별시 도봉구 (1132000000)","305,400","996","996"
"서울특별시 도봉구 창제1동(1132051100)","23,947","93","93"
"서울특별시 도봉구 창제2동(1132051200)","27,879","89","89"
"서울특별시 도봉구 창제3동(1132051300)","13,061","27","27"
"서울특별시 도봉구 창제4동(1132051400)","26,409","103","103"
"서울특별시 도봉구 창제5동(1132051500)","23,811","107","107"
"서울특별시 도봉구 도봉제1동(1132052100)","19,831","49","49"
"서울특별시 도봉구 도봉제2동(1132052200)","26,112","121","121"
"서울특별시 도봉구 쌍문제1동(1132066000)","20,606","61","61"
"서울특별시 도봉구 쌍문제2동(1132067000)","17,781","57","57"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,358","59","59"
"서울특별시 도봉구 쌍문제4동(1132068100)","17,956","56","56"
"서울특별시 도봉구 방학제1동(1132069000)","27,433","58","58"
"서울특별시 도봉구 방학제2동(1132070000)","18,265","36","36"
"서울특별시 도봉구 방학제3동(1132071000)","25,951","80","80"
"서울특별시 노원구 (1135000000)","495,183","1,951","1,951"
"서울특별시 노원구 월계1동(1135056000)","20,389","64","64"
"서울특별시 노원구 월계2동(1135057000)","25,397","104","104"
"서울특별시 노원구 월계3동(1135058000)","28,508","160","160"
"서울특별시 노원구 공릉1동(1135059500)","35,863","103","103"
"서울특별시 노원구 공릉2동(1135060000)","41,428","191","191"
"서울특별시 노원구 하계1동(1135061100)","26,129","52","52"
"서울특별시 노원구 하계2동(1135061200)","21,077","65","65"
"서울특별시 노원구 중계본동(1135061900)","22,807","34","34"
"서울특별시 노원구 중계1동(1135062100)","26,255","26","26"
"서울특별시 노원구 중계4동(1135062400)","19,049","38","38"
"서울특별시 노원구 중계2.3동(1135062500)","32,101","125","125"
"서울특별시 노원구 상계1동(1135063000)","36,669","122","122"
"서울특별시 노원구 상계2동(1135064000)","18,993","43","43"
"서울특별시 노원구 상계3.4동(1135066500)","27,338","77","77"
"서울특별시 노원구 상계5동(1135067000)","22,786","72","72"
"서울특별시 노원구 상계6.7동(1135069500)","31,208","177","177"
"서울특별시 노원구 상계8동(1135070000)","21,663","293","293"
"서울특별시 노원구 상계9동(1135071000)","19,467","86","86"
"서울특별시 노원구 상계10동(1135072000)","18,056","119","119"
"서울특별시 은평구 (1138000000)","464,738","1,703","1,703"
"서울특별시 은평구 녹번동(1138051000)","35,875","174","174"
"서울특별시 은평구 불광제1동(1138052000)","37,519","150","150"
"서울특별시 은평구 불광제2동(1138053000)","26,674","65","65"
"서울특별시 은평구 갈현제1동(1138055100)","14,303","25","25"
"서울특별시 은평구 갈현제2동(1138055200)","27,381","53","53"
"서울특별시 은평구 구산동(1138056000)","31,227","59","59"
"서울특별시 은평구 대조동(1138057000)","27,458","104","104"
"서울특별시 은평구 응암제1동(1138058000)","32,448","155","155"
"서울특별시 은평구 응암제2동(1138059000)","27,281","186","186"
"서울특별시 은평구 응암제3동(1138060000)","23,347","59","59"
"서울특별시 은평구 역촌동(1138062500)","43,546","124","124"
"서울특별시 은평구 신사제1동(1138063100)","26,340","83","83"
"서울특별시 은평구 신사제2동(1138063200)","18,869","75","75"
"서울특별시 은평구 증산동(1138064000)","17,696","74","74"
"서울특별시 은평구 수색동(1138065000)","20,961","169","169"
"서울특별시 은평구 진관동(1138069000)","53,813","148","148"
"서울특별시 서대문구 (1141000000)","305,369","1,272","1,272"
"서울특별시 서대문구 천연동(1141052000)","16,546","79","79"
"서울특별시 서대문구 북아현동(1141055500)","15,505","111","111"
"서울특별시 서대문구 충현동(1141056500)","19,623","58","58"
"서울특별시 서대문구 신촌동(1141058500)","20,470","76","76"
"서울특별시 서대문구 연희동(1141061500)","33,896","93","93"
"서울특별시 서대문구 홍제제1동(1141062000)","24,610","117","117"
"서울특별시 서대문구 홍제제3동(1141064000)","17,558","82","82"
"서울특별시 서대문구 홍제제2동(1141065500)","13,114","59","59"
"서울특별시 서대문구 홍은제1동(1141066000)","22,102","97","97"
"서울특별시 서대문구 홍은제2동(1141068500)","28,384","106","106"
"서울특별시 서대문구 남가좌제1동(1141069000)","16,689","84","84"
"서울특별시 서대문구 남가좌제2동(1141070000)","28,999","137","137"
"서울특별시 서대문구 북가좌제1동(1141071000)","17,467","77","77"
"서울특별시 서대문구 북가좌제2동(1141072000)","30,406","96","96"
"서울특별시 마포구 (1144000000)","363,029","1,574","1,574"
"서울특별시 마포구 아현동(1144055500)","29,011","254","254"
"서울특별시 마포구 공덕동(1144056500)","36,298","149","149"
"서울특별시 마포구 도화동(1144058500)","20,651","92","92"
"서울특별시 마포구 용강동(1144059000)","21,300","109","109"
"서울특별시 마포구 대흥동(1144060000)","14,415","52","52"
"서울특별시 마포구 염리동(1144061000)","16,862","79","79"
"서울특별시 마포구 신수동(1144063000)","22,203","114","114"
"서울특별시 마포구 서강동(1144065500)","24,601","109","109"
"서울특별시 마포구 서교동(1144066000)","23,949","50","50"
"서울특별시 마포구 합정동(1144068000)","16,157","79","79"
"서울특별시 마포구 망원제1동(1144069000)","18,963","54","54"
"서울특별시 마포구 망원제2동(1144070000)","17,673","60","60"
"서울특별시 마포구 연남동(1144071000)","14,193","40","40"
"서울특별시 마포구 성산제1동(1144072000)","18,444","49","49"
"서울특별시 마포구 성산제2동(1144073000)","38,690","189","189"
"서울특별시 마포구 상암동(1144074000)","29,619","95","95"
"서울특별시 양천구 (1147000000)","433,307","1,432","1,432"
"서울특별시 양천구 목1동(1147051000)","30,134","65","65"
"서울특별시 양천구 목2동(1147052000)","28,651","117","117"
"서울특별시 양천구 목3동(1147053000)","21,114","97","97"
"서울특별시 양천구 목4동(1147054000)","24,239","54","54"
"서울특별시 양천구 목5동(1147055000)","40,541","93","93"
"서울특별시 양천구 신월1동(1147056000)","19,214","45","45"
